0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000002075FF7CBE0>,qaanaaq,gl,77.48,-20.62,58,48,5.95,1521786662
<citipy.citipy.City object at 0x0000020760680400>,taoudenni,ml,22.68,45.99,30,0,8.41,1521786679
<citipy.citipy.City object at 0x00000207615B3390>,richards bay,za,-28.77,65.61,100,92,5.17,1521786741
<citipy.citipy.City object at 0x00000207615A0FD0>,bredasdorp,za,-34.53,63,98,0,13.22,1521786670
<citipy.citipy.City object at 0x000002075FA45128>,liniere,ca,,,,,,
<citipy.citipy.City object at 0x000002076156A7B8>,carmelo,uy,-34,68.95,59,0,3.36,1521784800
<citipy.citipy.City object at 0x000002076101B588>,kutum,sd,14.2,67.32,41,0,2.71,1521786999
<citipy.citipy.City object at 0x000002075F548828>,san julian,bo,13.7,76.14,60,0,9.17,1521784200
<citipy.citipy.City object at 0x00000207611B1278>,barrow,us,-38.31,59.58,87,24,11.21,1521786663
<citipy.citipy.City object at 0x000002075FD94DD8>,give,dk,55.85,34.23,96,88,5.82,1521785220
<citipy.citipy.City object at 0x000002075FA39A90>,hay river,ca,60.82,-2.21,77,40,5.82,1521784800
<citipy.citipy.City object at 0x000002076102F240>,georgetown,sh,6.8,73.4,94,0,6.93,1521784800
<citipy.citipy.City object at 0x000002075F756860>,ushuaia,ar,-54.81,46.4,65,75,26.4,1521784800
<citipy.citipy.City object at 0x00000207601A6E10>,amreli,in,21.6,93.15,24,0,9.42,1521787001
<citipy.citipy.City object at 0x00000207607C2278>,gobabis,na,-22.45,64.4,88,88,1.12,1521784800
<citipy.citipy.City object at 0x0000020760DE97B8>,cherskiy,ru,68.75,0.36,73,92,9.42,1521786713
<citipy.citipy.City object at 0x000002075FB12048>,punta arenas,cl,-53.16,41,75,75,9.17,1521784800
<citipy.citipy.City object at 0x000002076100A4A8>,zhigalovo,ru,54.81,48.6,55,36,4.16,1521787003
<citipy.citipy.City object at 0x000002075FB70C88>,shuangcheng,cn,45.37,48.2,29,0,15.66,1521784800
<citipy.citipy.City object at 0x000002075F776358>,albany,au,42.65,28.8,72,20,3.36,1521784440
<citipy.citipy.City object at 0x000002075FDF5710>,tahta,eg,,,,,,
<citipy.citipy.City object at 0x000002075FF7FA20>,kerewan,gm,13.49,71.6,53,0,6.93,1521784800
<citipy.citipy.City object at 0x0000020761251470>,kapaa,us,22.08,69.62,94,90,7.63,1521784800
<citipy.citipy.City object at 0x000002075F53AD68>,saint george,bm,39.45,50,93,40,2.71,1521784200
<citipy.citipy.City object at 0x000002076083F7F0>,maloy,no,1,82.17,83,24,2.71,1521787005
<citipy.citipy.City object at 0x00000207604AF630>,doha,kw,25.29,84.2,30,0,11.41,1521784800
<citipy.citipy.City object at 0x0000020760DEB438>,chokurdakh,ru,70.62,-11.62,76,24,4.16,1521786652
<citipy.citipy.City object at 0x000002075FF7C668>,illoqqortoormiut,gl,,,,,,
<citipy.citipy.City object at 0x000002075F867550>,pontalina,br,-17.52,69.21,96,48,3.04,1521787006
<citipy.citipy.City object at 0x00000207608C6D68>,rikitea,pf,-23.12,79.83,100,76,11.77,1521786655
<citipy.citipy.City object at 0x00000207615A82E8>,hermanus,za,-34.42,52.2,86,0,2.48,1521786656
<citipy.citipy.City object at 0x00000207600B6E10>,miragoane,ht,18.44,75.69,100,36,6.06,1521787006
<citipy.citipy.City object at 0x000002076085EC50>,tikapur,np,28.53,83.07,34,0,2.71,1521787007
<citipy.citipy.City object at 0x000002075FA7CD30>,yellowknife,ca,62.45,-2.21,77,40,5.82,1521784800
<citipy.citipy.City object at 0x0000020760667F98>,taolanaro,mg,,,,,,
<citipy.citipy.City object at 0x0000020760862358>,bluff,nz,-23.58,81.63,63,76,16.24,1521786691
<citipy.citipy.City object at 0x00000207610C15F8>,vaini,to,15.34,90,30,0,3.83,1521786666
<citipy.citipy.City object at 0x0000020761594A90>,vaitupu,wf,,,,,,
<citipy.citipy.City object at 0x000002075F78D710>,new norfolk,au,-42.78,73.4,38,20,10.29,1521784800
<citipy.citipy.City object at 0x0000020760F16DA0>,pevek,ru,69.7,9.27,90,92,6.29,1521786664
<citipy.citipy.City object at 0x0000020760871630>,te anau,nz,-45.41,49.77,85,92,2.59,1521787009
<citipy.citipy.City object at 0x000002075FB0B780>,castro,cl,-42.48,53.19,95,76,9.31,1521787009
<citipy.citipy.City object at 0x000002075F776B70>,ballina,au,54.11,39.2,93,75,13.87,1521784800
<citipy.citipy.City object at 0x0000020761251048>,hilo,us,19.71,73.4,69,75,5.82,1521784380
<citipy.citipy.City object at 0x000002075F948CF8>,palapye,bw,-22.54,65.7,92,92,17.81,1521787010
<citipy.citipy.City object at 0x0000020760262A90>,kavaratti,in,10.57,83.79,100,0,13.22,1521786696
<citipy.citipy.City object at 0x000002076037F1D0>,arezzo,it,43.46,38.35,51,20,16.11,1521784800
<citipy.citipy.City object at 0x00000207602735C0>,kollam,in,8.88,89.6,66,40,12.75,1521784800
<citipy.citipy.City object at 0x000002075F560940>,arraial do cabo,br,-22.97,77.58,96,20,10.42,1521786659
<citipy.citipy.City object at 0x0000020760DAF080>,aysha,ru,36.65,61.11,50,0,10.2,1521787012
<citipy.citipy.City object at 0x0000020760ED89E8>,nizhneyansk,ru,,,,,,
